config_name,run_number,window_start_s,window_end_s,label,controller_delay_mean_s,controller_delay_max_s,controller_delay_last_s,controller_packet_error_rate_mean,controller_packet_error_rate_max,controller_packet_error_rate_last,receiver_app0_packet_count,receiver_app0_seq_progress,receiver_app0_last_seq,receiver_app0_e2e_delay_mean_s,receiver_app0_e2e_delay_max_s,receiver_app0_throughput_mean_bps,receiver_app0_throughput_last_bps,receiver_app1_packet_count,receiver_app1_seq_progress,receiver_app1_last_seq,receiver_app1_e2e_delay_mean_s,receiver_app1_e2e_delay_max_s,receiver_app1_throughput_mean_bps,receiver_app1_throughput_last_bps,receiver_total_packet_count
StagedRealistic,0,22.0,23.0,degraded,0.00203601704175,0.002685146527,0.002685146527,0.0004987500000000001,0.00063,0.00063,1,1,12,0.001366053956,0.001832121764,3723.6363636363635,0.0,4,4,43,0.001843274827,0.002216058112,3723.6363636363635,0.0,5
StagedRealistic,0,23.0,24.0,degraded,0.0030983039082499997,0.003792187062,0.003792187062,0.00070875,0.00084,0.00084,1,1,13,0.0023493441455,0.002866566527,3723.6363636363635,0.0,4,4,47,0.00288407644,0.003289275517,3723.6363636363635,0.0,5
StagedRealistic,0,24.0,25.0,degraded,0.0042272012855,0.004956545273,0.004956545273,0.00091875,0.00105,0.00105,1,1,14,0.0034200867945,0.003973607062,3723.6363636363635,0.0,4,4,51,0.003996396226200001,0.004426425745,3723.6363636363635,0.0,5
StagedRealistic,0,25.0,26.0,degraded,0.0054097305497500005,0.006168717058,0.006168717058,0.00112875,0.00126,0.00126,1,1,15,0.0045557861675,0.005137965273,3723.6363636363635,0.0,4,4,55,0.0051652610962,0.005615654595,3723.6363636363635,0.0,5
StagedRealistic,0,26.0,27.0,degraded,0.006912754564,0.008522975002,0.008522975002,0.00147875,0.00203,0.00203,1,1,16,0.0057440511655,0.006350137058,3723.6363636363635,0.0,4,4,59,0.0063813733974,0.006849149138,3723.6363636363635,0.0,5
StagedRealistic,0,27.0,28.0,degraded,0.0094547475015,0.010622969002,0.010622969002,0.00273875,0.00392,0.00392,1,1,17,0.00752726603,0.008704395002,3723.6363636363635,0.0,4,4,63,0.0089135602284,0.010208611,3723.6363636363635,0.0,5
StagedRealistic,0,28.0,29.0,degraded,0.01055799378225,0.010622969002,0.010568590681,0.00462875,0.00581,0.00581,1,1,18,0.009754392002,0.010804389002,3723.6363636363635,0.0,4,4,67,0.0105324003784,0.010819909002,3723.6363636363635,0.0,5
StagedRealistic,0,29.0,30.0,degraded,0.0117386709515,0.01400006,0.01400006,0.00651875,0.0077,0.0077,1,1,19,0.0107771998415,0.010804389002,3723.6363636363635,0.0,4,4,71,0.0111241225388,0.011875982444,3723.6363636363635,0.0,5
StagedRealistic,0,30.0,31.0,degraded,0.01540358171875,0.017431529319,0.017431529319,0.00840875,0.00959,0.00959,1,1,20,0.0124657453405,0.01418148,3723.6363636363635,0.0,4,4,75,0.0145228035112,0.016241217556,3723.6363636363635,0.0,5
StagedRealistic,0,31.0,32.0,degraded,0.017455720798,0.017582673556,0.017377150998,0.010298749999999999,0.01148,0.01148,1,1,21,0.0158972146595,0.017612949319,3723.6363636363635,0.0,4,4,79,0.0173284366612,0.017641213556,3723.6363636363635,0.0,5
StagedRealistic,0,32.0,33.0,degraded,0.0180203739985,0.019477144998,0.019477144998,0.01218875,0.01337,0.01337,1,1,22,0.0175857601585,0.017612949319,3723.6363636363635,0.0,4,4,83,0.0176936347104,0.017908589,3723.6363636363635,0.0,5
StagedRealistic,0,33.0,34.0,degraded,0.02031504201325,0.021279375926,0.021279375926,0.01392518373911475,0.014887540187778,0.014887540187778,1,1,23,0.018608567998,0.019658564998,3723.6363636363635,0.0,3,4,87,0.019938189565,0.021085042131,2792.7272727272725,0.0,4
StagedRealistic,0,34.0,35.0,degraded,0.02165208377825,0.022326288206,0.022326288206,0.01620590979807875,0.018618277687705,0.018618277687705,1,1,24,0.020559680461999998,0.021460795926,3723.6363636363635,0.0,4,4,91,0.0214925888186,0.021781835055,3723.6363636363635,0.0,5
StagedRealistic,0,35.0,36.0,degraded,0.02291826299,0.023948727713,0.023948727713,0.0208511335700765,0.024762074928474,0.024762074928474,1,1,25,0.021984252066,0.022507708206,3723.6363636363635,0.0,4,4,95,0.0225900934274,0.023130287835,3723.6363636363635,0.0,5
StagedRealistic,0,36.0,37.0,degraded,0.0247284046035,0.026066952061,0.026066952061,0.0278197869881085,0.033091535883539,0.033091535883539,1,1,26,0.0233189279595,0.024130147713,3723.6363636363635,0.0,4,4,99,0.024259745023,0.025007750927,3723.6363636363635,0.0,5
StagedRealistic,0,37.0,38.0,degraded,0.02701638816525,0.028634766131,0.028634766131,0.03692075565014525,0.043468938948682,0.043468938948682,1,1,27,0.025189259887,0.026248372061,3723.6363636363635,0.0,4,4,103,0.026421595973,0.027355422408,3723.6363636363635,0.0,5
StagedRealistic,0,38.0,39.0,degraded,0.0297417275885,0.031620393402,0.031620393402,0.0480321763033275,0.05579670955445,0.05579670955445,1,1,28,0.027532279096,0.028816186131,3723.6363636363635,0.0,4,4,107,0.02903029681,0.03013552469,3723.6363636363635,0.0,5
StagedRealistic,0,39.0,40.0,degraded,0.03287575207875,0.035,0.035,0.061065344875292,0.07,0.07,1,1,29,0.0303089997665,0.031801813402,3723.6363636363635,0.0,4,4,111,0.0320546629032,0.033320761511,3723.6363636363635,0.0,5
StagedRealistic,0,40.0,41.0,pre_failure,0.035,0.035,0.035,0.07,0.07,0.07,1,1,30,0.033491616700999996,0.03518142,3723.6363636363635,0.0,4,4,115,0.034738664302200004,0.03519694,3723.6363636363635,0.0,5
StagedRealistic,0,41.0,42.0,pre_failure,0.035,0.035,0.035,0.07,0.07,0.07,1,1,31,0.03518142,0.03518142,3723.6363636363635,0.0,4,4,119,0.03508622,0.03519694,3723.6363636363635,0.0,5
StagedRealistic,0,42.0,43.0,pre_failure,0.035,0.035,0.035,0.07,0.07,0.07,1,1,32,0.03518142,0.03518142,3723.6363636363635,0.0,3,3,122,0.03509314,0.03519694,2792.7272727272725,0.0,4
StagedRealistic,0,43.0,44.0,pre_failure,0.035,0.035,0.035,0.07,0.07,0.07,1,1,33,0.03518142,0.03518142,3723.6363636363635,0.0,4,5,127,0.03508622,0.03519694,3723.6363636363635,0.0,5
StagedRealistic,0,44.0,45.0,pre_failure,0.035,0.035,0.035,0.07,0.07,0.07,1,1,34,0.03518142,0.03518142,3723.6363636363635,0.0,3,4,131,0.03505854,0.03505854,2792.7272727272725,0.0,4
StagedRealistic,0,45.0,46.0,failed,0.035,0.035,0.035,0.07,0.07,0.07,1,1,35,0.017681469999999998,0.03518142,3723.6363636363635,0.0,4,4,135,0.007086299999999999,0.03505854,3723.6363636363635,0.0,5
StagedRealistic,0,46.0,47.0,failed,0.035,0.035,0.035,0.07,0.07,0.07,1,1,36,0.00018152,0.00018152,3723.6363636363635,0.0,4,4,139,8.632e-05,0.00019704,3723.6363636363635,0.0,5
StagedRealistic,0,47.0,48.0,failed,0.035,0.035,0.035,0.07,0.07,0.07,1,1,37,0.00018152,0.00018152,3723.6363636363635,0.0,4,4,143,8.632e-05,0.00019704,3723.6363636363635,0.0,5
StagedRealistic,0,48.0,49.0,failed,0.035,0.035,0.035,0.07,0.07,0.07,1,1,38,0.00018152,0.00018152,3723.6363636363635,0.0,4,4,147,8.632e-05,0.00019704,3723.6363636363635,0.0,5
StagedRealistic,0,49.0,50.0,failed,0.035,0.035,0.035,0.07,0.07,0.07,1,1,39,0.00018152,0.00018152,3723.6363636363635,0.0,4,4,151,8.632e-05,0.00019704,3723.6363636363635,0.0,5
StagedRealistic,0,50.0,51.0,failed,0.035,0.035,0.035,0.07,0.07,0.07,1,1,40,0.00018152,0.00018152,3723.6363636363635,0.0,4,4,155,8.632e-05,0.00019704,3723.6363636363635,0.0,5
StagedRealistic,0,51.0,52.0,failed,0.035,0.035,0.035,0.07,0.07,0.07,1,1,41,0.00018152,0.00018152,3723.6363636363635,0.0,4,4,159,8.632e-05,0.00019704,3723.6363636363635,0.0,5
